%user,%system,%iowait,%idle
27.25,22.90,46.89,2.96
27.44,22.84,46.63,3.09
27.26,22.75,47.14,2.84
27.23,22.96,46.69,3.12
27.21,22.96,46.76,3.07
27.25,23.19,46.47,3.09
27.36,22.91,46.85,2.88
27.23,23.05,46.72,3.00
27.29,23.16,46.52,3.02
27.29,22.85,46.96,2.90
27.12,23.32,46.55,3.01
27.29,23.07,46.66,2.98
27.08,22.98,47.00,2.94
27.27,22.91,46.92,2.89
27.22,23.22,46.37,3.19
27.28,23.02,46.36,3.34
27.35,22.97,46.55,3.12
27.29,23.12,46.58,3.02
27.41,23.10,46.37,3.12
27.35,22.85,46.83,2.97
27.45,22.91,46.59,3.05
27.15,23.24,46.51,3.11
27.30,22.99,46.66,3.05
27.34,22.98,46.37,3.31
27.29,23.02,46.66,3.02
27.28,23.20,46.50,3.02
27.44,22.87,46.58,3.11
27.33,23.01,46.62,3.04
27.21,23.04,46.38,3.37
27.29,23.03,46.49,3.19
27.34,22.90,46.56,3.20
27.33,22.95,46.70,3.02
27.15,23.02,46.78,3.05
27.36,22.92,46.72,3.00
27.35,22.99,46.62,3.04
27.33,22.99,46.62,3.05
27.33,23.02,46.48,3.17
27.28,22.89,46.74,3.10
27.14,23.16,46.43,3.27
27.29,22.82,46.60,3.29
27.39,23.02,46.22,3.38
27.40,23.05,46.48,3.06
27.24,23.26,46.29,3.21
27.51,23.02,46.32,3.15
27.19,22.82,47.03,2.96
27.23,23.00,46.89,2.89
27.26,23.02,46.68,3.04
27.43,22.79,46.80,2.98
27.36,22.92,46.69,3.04
27.17,23.02,46.82,2.99
27.22,23.08,46.56,3.14
27.25,22.93,46.83,2.99
27.16,22.92,46.92,3.00
27.54,22.92,46.37,3.17
27.33,22.92,46.78,2.98
27.46,23.14,46.16,3.23
27.63,24.67,44.31,3.39
27.45,23.00,46.24,3.30
27.18,23.09,46.73,3.00
27.42,22.75,46.87,2.96
27.35,22.98,46.72,2.95
27.30,23.09,46.61,3.00
27.16,23.02,46.84,2.98
27.30,22.99,46.76,2.96
27.19,22.96,46.90,2.95
27.41,23.14,46.16,3.30
27.41,23.16,46.47,2.96
27.24,22.86,46.85,3.04
27.34,22.93,46.60,3.12
27.31,22.88,46.78,3.02
27.13,22.96,46.88,3.03
27.34,23.03,46.52,3.10
27.32,23.08,46.34,3.26
27.21,23.01,46.67,3.10
27.13,23.12,46.82,2.92
27.30,23.07,46.45,3.17
27.26,23.08,46.62,3.04
27.43,23.15,46.23,3.18
27.34,23.07,46.36,3.23
27.31,22.97,46.63,3.09
27.10,23.32,46.40,3.18
27.26,22.84,46.85,3.05
27.44,22.93,46.42,3.21
27.18,22.87,46.84,3.11
27.18,22.89,46.85,3.08
27.36,22.87,46.80,2.97
27.15,23.12,46.81,2.92
27.15,22.92,46.79,3.14
27.15,23.06,46.79,2.99
27.27,22.95,46.68,3.10
27.43,22.95,46.66,2.96
27.33,23.02,46.56,3.10
27.16,23.18,46.70,2.96
27.51,23.08,46.36,3.05
27.28,23.11,46.56,3.05
27.32,22.89,46.56,3.24
27.14,23.13,46.59,3.14
27.28,22.98,46.68,3.06
27.27,22.92,46.80,3.00
27.54,22.86,46.38,3.22
27.18,23.05,46.70,3.07
27.47,22.94,46.60,2.99
27.16,23.04,46.76,3.04
27.09,23.02,46.95,2.95
27.32,23.08,46.51,3.09
27.20,23.02,46.86,2.92
27.22,22.89,46.75,3.14
27.27,22.88,46.64,3.20
27.34,23.06,46.49,3.11
27.44,22.96,46.51,3.09
27.28,23.12,46.63,2.96
27.38,22.87,46.47,3.27
27.37,23.16,46.17,3.30
27.35,22.79,46.75,3.11
27.27,23.12,46.81,2.80
27.29,23.05,46.72,2.94
27.34,23.24,46.25,3.17
27.08,22.93,46.77,3.22
27.39,22.94,46.51,3.17
27.10,23.07,46.68,3.16
27.33,23.00,46.57,3.11
27.28,22.95,46.53,3.24
27.27,22.81,46.90,3.01
27.58,23.74,45.47,3.21
27.54,22.83,46.63,2.99
27.07,23.01,47.00,2.93
27.30,22.96,46.79,2.94
27.50,22.79,46.66,3.05
27.36,22.89,46.81,2.94
27.10,22.86,46.96,3.08
27.23,23.01,46.91,2.85
27.36,22.75,46.93,2.96
27.52,22.72,46.56,3.20
27.31,22.99,46.61,3.09
27.28,23.15,46.55,3.02
27.38,23.06,46.47,3.09
27.46,22.86,46.63,3.05
27.12,23.06,46.91,2.91
27.39,22.90,46.80,2.91
27.26,22.98,46.78,2.97
27.31,23.10,46.50,3.09
27.31,23.03,46.60,3.06
27.34,23.00,46.68,2.98
27.25,22.94,46.85,2.95
27.28,23.13,46.44,3.15
27.24,22.83,46.73,3.20
27.37,22.72,46.87,3.04
27.22,22.95,46.81,3.03
27.35,22.92,46.76,2.97
27.34,22.73,46.88,3.06
27.39,23.17,46.47,2.97
27.26,23.06,46.54,3.15
27.35,23.10,46.37,3.19
27.37,23.03,46.51,3.10
27.19,23.09,46.72,3.00
27.40,22.94,46.54,3.12
27.28,22.94,46.67,3.11
27.10,23.16,46.73,3.01
27.31,22.96,46.64,3.10
27.26,22.88,46.81,3.04
27.35,23.14,46.58,2.93
27.43,22.86,46.47,3.24
27.58,22.94,46.40,3.08
27.26,23.13,46.41,3.20
27.33,23.01,46.56,3.10
27.50,23.17,46.19,3.13
27.31,22.96,46.66,3.06
27.23,22.94,46.87,2.95
27.17,22.87,46.91,3.06
27.22,22.95,46.89,2.93
27.38,23.20,46.43,2.99
27.50,22.99,46.48,3.04
27.27,23.12,46.71,2.89
27.18,23.10,46.58,3.14
27.17,22.85,46.85,3.12
27.31,22.90,46.79,3.00
27.29,22.96,46.91,2.84
27.40,23.07,46.46,3.07
27.37,22.99,46.59,3.05
27.29,23.07,46.51,3.13
27.12,23.00,46.84,3.04
27.24,22.86,46.89,3.01
27.27,22.93,46.86,2.94
27.38,22.75,46.84,3.04
27.27,23.00,46.67,3.06
27.30,22.88,46.66,3.16
27.46,22.90,46.45,3.19
27.34,23.08,46.41,3.17
27.14,22.89,46.70,3.26
27.23,22.84,46.88,3.06
27.18,23.27,46.39,3.16
27.33,22.90,46.67,3.10
27.26,22.96,46.72,3.05
27.14,23.23,46.40,3.23
27.18,23.10,46.68,3.04
27.33,23.02,46.58,3.07
27.33,23.04,46.53,3.10
27.50,22.74,46.57,3.19
27.20,23.04,46.48,3.28
27.39,22.93,46.40,3.27
27.32,23.05,46.60,3.03
26.98,23.10,46.87,3.05
27.06,23.05,46.69,3.20
27.43,23.00,46.39,3.18
27.41,22.87,46.61,3.11
27.24,22.95,46.71,3.09
27.20,23.01,46.73,3.06
27.22,22.73,46.95,3.10
27.22,22.89,46.86,3.03
27.38,23.14,46.18,3.30
27.14,23.05,46.72,3.09
27.45,22.83,46.31,3.41
27.28,22.92,46.44,3.35
27.62,24.16,45.31,2.91
27.50,22.89,46.56,3.05
27.15,23.00,46.80,3.05
27.25,22.94,46.70,3.11
27.32,23.02,46.74,2.92
27.23,23.04,46.78,2.95
27.32,23.12,46.59,2.97
27.13,23.10,46.74,3.03
27.03,23.00,46.97,3.00
27.24,22.79,47.00,2.96
27.35,23.06,46.60,2.99
27.37,23.02,46.65,2.96
27.30,23.21,46.36,3.13
27.21,22.89,47.01,2.89
27.27,23.09,46.52,3.12
27.28,22.89,46.80,3.04
27.36,22.94,46.52,3.18
27.32,23.12,46.35,3.21
27.41,23.10,46.46,3.04
27.60,22.74,46.77,2.90
27.27,23.12,46.52,3.08
27.10,22.94,47.03,2.93
27.26,23.25,46.50,2.99
27.25,23.09,46.58,3.08
27.27,23.07,46.45,3.21
27.28,23.00,46.61,3.11
27.25,23.07,46.56,3.12
27.24,23.00,46.78,2.98
27.40,22.95,46.57,3.08
27.30,22.94,46.44,3.31
27.28,22.92,46.76,3.04
27.17,23.16,46.74,2.93
27.47,23.57,46.07,2.89
27.20,23.07,46.69,3.04
27.30,22.99,46.70,3.01
27.21,23.07,46.68,3.03
27.19,23.13,46.65,3.03
27.39,23.11,46.30,3.20
27.41,23.15,46.38,3.07
27.10,23.22,46.60,3.08
27.37,23.09,46.36,3.17
27.42,22.80,46.50,3.28
27.04,23.12,46.66,3.18
27.42,23.01,46.30,3.26
27.58,23.05,46.03,3.34
27.35,23.11,46.48,3.07
27.19,22.95,46.90,2.96
27.36,22.86,46.74,3.04
27.64,23.18,45.93,3.25
27.27,23.06,46.58,3.09
27.26,22.91,46.64,3.19
27.17,22.95,46.91,2.98
27.43,23.07,46.36,3.14
27.26,22.90,46.81,3.02
27.42,22.96,46.61,3.01
27.59,23.90,45.56,2.96
27.29,23.31,46.53,2.87
27.32,22.93,46.76,3.00
27.31,22.98,46.55,3.16
27.52,22.84,46.60,3.04
26.95,23.00,47.15,2.90
27.30,23.07,46.69,2.93
27.30,23.05,46.51,3.14
27.30,22.93,46.52,3.26
27.37,22.96,46.53,3.14
27.25,23.04,46.54,3.17
27.17,23.16,46.60,3.08
27.19,23.02,46.86,2.93
27.27,22.93,46.63,3.17
27.28,23.21,46.41,3.09
27.37,22.98,46.47,3.18
27.28,23.14,46.57,3.01
27.51,22.97,46.60,2.92
27.42,23.08,46.41,3.09
27.17,23.15,46.71,2.98
27.22,22.96,46.74,3.08
27.36,23.23,46.18,3.24
27.39,22.68,46.80,3.13
27.26,22.79,46.81,3.14
27.36,22.90,46.69,3.04
27.42,23.14,46.32,3.12
27.38,23.15,46.49,2.98
27.42,23.10,46.48,3.00
27.50,22.94,46.62,2.94
27.28,22.93,46.82,2.97
27.26,23.10,46.65,2.99
27.27,23.02,46.66,3.05
27.26,23.11,46.22,3.41
27.33,23.03,46.22,3.41
27.43,23.06,46.43,3.08
27.40,22.93,46.38,3.28
27.17,23.08,46.64,3.11
27.46,22.85,46.66,3.03
27.20,23.19,46.54,3.08
27.19,22.93,47.00,2.88
27.34,22.73,46.90,3.04
27.37,22.99,46.80,2.84
27.28,23.02,46.56,3.14
27.31,22.99,46.63,3.06
27.27,22.84,46.90,2.99
27.31,23.16,46.43,3.10
27.40,23.15,46.21,3.24
27.34,22.97,46.41,3.29
27.27,23.25,46.43,3.05
27.44,23.14,45.95,3.46
27.29,22.97,46.83,2.91
27.30,23.13,46.51,3.05
27.21,23.13,46.67,2.99
27.37,22.99,46.34,3.31
27.39,23.12,45.98,3.51
27.65,23.59,45.64,3.13
27.32,22.96,46.59,3.12
27.26,23.40,46.15,3.19
27.38,23.37,46.01,3.24
27.36,23.24,46.50,2.90
27.38,23.01,46.57,3.04
27.35,23.04,46.37,3.24
27.32,23.14,46.35,3.19
27.31,22.93,46.56,3.19
27.38,22.89,46.65,3.08
27.27,22.89,46.71,3.13
27.11,22.88,47.10,2.91
27.41,23.00,46.47,3.13
27.41,23.06,46.54,2.98
27.42,22.94,46.47,3.18
27.06,23.23,46.63,3.09
27.20,22.79,46.89,3.12
27.22,23.03,46.69,3.06
27.38,22.73,46.69,3.19
27.26,23.11,46.45,3.17
27.27,22.97,46.72,3.04
27.21,23.17,46.42,3.20
27.58,23.05,45.98,3.38
27.18,23.04,46.67,3.11
27.30,23.21,46.38,3.11
27.10,23.22,46.72,2.96
27.27,23.01,46.60,3.11
27.46,22.97,46.34,3.23
27.44,23.12,46.25,3.19
27.49,23.07,46.12,3.31
27.28,23.04,46.61,3.07
27.25,23.11,46.26,3.38
27.22,23.01,46.50,3.27
27.36,23.21,46.25,3.19
27.25,23.18,46.36,3.20
27.24,23.03,46.62,3.10
27.21,23.20,46.46,3.14
27.35,22.90,46.83,2.91
27.27,22.97,46.87,2.89
27.43,22.96,46.65,2.96
27.61,22.86,46.39,3.14
27.48,23.15,46.26,3.11
27.49,23.17,46.48,2.85
27.18,22.87,46.99,2.96
27.29,22.77,46.84,3.09
27.40,22.76,46.85,2.99
27.21,23.28,46.51,3.00
27.33,22.98,46.78,2.91
27.05,22.87,47.08,3.01
27.44,22.78,46.74,3.03
27.24,22.73,47.01,3.02
27.31,22.85,46.74,3.10
27.48,22.72,46.74,3.06
27.24,23.08,46.90,2.79
27.20,23.00,46.78,3.02
27.37,22.89,46.73,3.01
27.47,22.89,46.53,3.11
27.37,23.01,46.53,3.10
27.18,22.91,46.95,2.96
27.30,23.03,46.75,2.92
27.13,23.13,46.70,3.04
27.23,22.91,46.88,2.98
27.25,22.84,46.91,3.00
27.32,22.85,46.79,3.04
27.14,22.82,46.96,3.08
27.21,22.97,46.86,2.96
27.31,22.95,46.79,2.95
27.54,23.31,46.18,2.97
27.16,22.92,46.93,2.98
27.32,23.04,46.57,3.07
27.13,23.18,46.50,3.19
27.12,23.20,46.66,3.01
27.33,22.75,46.76,3.15
27.33,23.00,46.40,3.27
27.32,23.07,46.35,3.25
27.20,23.27,46.48,3.05
27.10,23.16,46.69,3.06
27.25,22.79,47.08,2.88
27.27,22.78,47.03,2.92
27.36,22.66,46.85,3.13
27.29,22.83,46.76,3.12
27.39,22.72,47.03,2.86
27.07,23.12,46.84,2.97
27.30,23.10,46.61,2.99
27.45,22.81,46.48,3.26
27.27,22.65,47.12,2.97
27.10,22.99,46.94,2.96
27.44,22.90,46.57,3.09
27.80,23.92,44.77,3.51
27.21,23.09,46.54,3.17
27.41,22.85,46.68,3.06
27.24,23.17,46.58,3.01
27.17,22.90,46.94,2.99
27.39,23.10,46.46,3.04
27.47,23.13,46.37,3.02
27.33,22.91,46.79,2.98
27.35,22.80,46.91,2.94
27.08,23.05,46.77,3.10
27.37,23.02,46.41,3.19
27.39,22.86,46.68,3.07
27.29,23.02,46.59,3.11
27.28,23.08,46.56,3.08
27.71,23.69,45.55,3.05
27.43,22.75,46.55,3.26
27.18,22.91,46.78,3.13
27.40,22.91,46.64,3.04
27.34,22.92,46.61,3.13
27.38,22.75,46.81,3.05
27.20,23.05,46.91,2.84
27.34,23.01,46.70,2.96
27.16,23.24,46.53,3.07
27.19,22.89,46.89,3.03
27.19,22.91,46.82,3.08
27.27,22.87,46.80,3.06
27.28,23.12,46.51,3.09
27.42,23.05,46.54,2.98
27.35,23.04,46.52,3.09
27.26,23.22,46.45,3.06
27.46,22.80,46.66,3.08
27.35,22.97,46.58,3.10
27.41,23.05,46.36,3.18
27.38,22.81,46.81,2.99
27.45,23.61,45.84,3.09
27.32,23.25,46.52,2.92
27.30,23.14,46.53,3.03
27.22,23.12,46.78,2.88
27.22,23.20,46.28,3.31
27.24,23.21,46.42,3.12
27.23,23.10,46.59,3.08
27.30,22.93,46.81,2.96
27.26,22.87,46.83,3.04
27.25,22.90,46.91,2.93
27.21,22.90,46.79,3.11
27.39,22.88,46.59,3.14
27.28,22.80,46.80,3.12
27.50,23.03,46.24,3.23
27.44,23.11,46.18,3.27
27.01,23.38,46.54,3.08
27.29,23.01,46.55,3.16
27.31,22.98,46.79,2.92
27.18,23.01,46.87,2.94
27.36,22.96,46.68,3.00
27.29,23.01,46.46,3.25
27.24,22.85,46.93,2.99
27.39,23.11,46.39,3.11
27.43,23.03,46.37,3.17
27.45,22.98,46.63,2.94
27.35,23.06,46.57,3.02
27.32,23.10,46.46,3.12
27.35,22.98,46.66,3.00
27.02,23.21,46.70,3.07
27.25,22.93,46.81,3.01
27.43,22.95,46.53,3.10
27.29,23.05,46.52,3.14
27.30,22.96,46.49,3.26
27.20,22.67,46.89,3.23
27.29,22.74,46.66,3.32
27.24,23.02,46.56,3.18
27.11,23.02,46.92,2.95
27.15,22.91,46.95,2.99
27.22,22.93,46.91,2.94
27.27,22.88,46.75,3.11
27.21,22.81,46.89,3.08
27.31,22.84,46.77,3.08
27.12,23.04,46.90,2.94
27.31,22.79,46.85,3.05
27.24,22.95,46.65,3.17
27.20,23.04,46.72,3.04
27.26,23.01,46.75,2.97
27.40,23.03,46.60,2.98
27.31,22.88,46.72,3.09
27.25,22.97,46.91,2.87
27.45,22.91,46.52,3.11
27.41,22.86,46.77,2.96
27.32,22.83,46.94,2.91
27.18,23.04,46.79,2.99
27.16,22.97,46.74,3.12
27.30,22.79,46.89,3.01
27.12,23.00,46.92,2.97
27.31,22.81,46.84,3.05
27.30,22.79,47.03,2.88
27.26,22.94,46.82,2.98
27.07,23.20,46.71,3.02
27.36,22.93,46.59,3.12
27.14,22.95,47.04,2.88
27.34,22.86,46.71,3.09
27.12,23.04,46.93,2.91
27.36,23.13,46.45,3.07
27.41,22.98,46.64,2.98
27.14,22.89,47.01,2.96
27.17,22.96,46.90,2.97
27.22,23.31,46.44,3.03
27.40,22.98,46.67,2.95
27.20,23.11,46.76,2.93
27.21,23.05,46.78,2.97
26.99,22.99,46.99,3.02
27.09,23.01,46.98,2.92
27.33,22.98,46.62,3.07
27.15,22.88,47.09,2.88
27.15,23.16,46.81,2.88
27.21,22.78,46.98,3.03
27.30,22.92,46.89,2.89
27.24,22.94,46.87,2.94
27.23,22.96,46.85,2.95
27.16,23.00,46.87,2.98
27.14,22.80,47.16,2.90
27.11,23.08,46.82,2.99
27.21,22.91,46.93,2.95
27.35,22.91,46.54,3.20
27.26,22.99,46.71,3.04
27.08,22.83,46.98,3.10
27.30,22.83,46.81,3.06
27.30,23.10,46.39,3.21
27.38,23.00,46.45,3.17
27.28,22.85,46.82,3.05
27.37,22.78,46.57,3.28
27.11,22.93,46.83,3.12
27.37,22.86,46.85,2.92
27.39,22.74,46.94,2.92
27.20,22.98,46.81,3.00
27.38,23.08,46.53,3.01
27.13,23.10,46.72,3.05
27.29,22.98,46.68,3.04
27.17,23.06,46.85,2.92
27.36,22.82,46.95,2.87
27.13,23.37,46.57,2.93
27.29,22.76,47.01,2.95
27.28,22.99,46.84,2.88
27.37,22.66,47.00,2.97
27.16,23.00,46.88,2.96
27.21,23.15,46.67,2.97
27.17,22.97,46.83,3.03
27.37,23.18,46.28,3.17
27.25,23.04,46.66,3.04
27.25,22.90,46.80,3.05
27.38,22.85,46.72,3.05
27.22,23.13,46.69,2.95
27.37,22.64,47.15,2.85
27.23,23.11,46.73,2.93
27.30,22.73,47.06,2.91
27.09,23.01,46.84,3.06
27.15,23.03,46.85,2.97
27.11,22.89,47.03,2.97
27.48,22.86,46.67,2.98
27.35,22.85,46.78,3.02
27.15,22.87,46.91,3.08
27.32,22.87,46.64,3.18
27.30,22.77,46.89,3.04
27.32,22.81,46.71,3.16
27.37,22.81,46.66,3.16
27.39,22.88,46.56,3.17
27.22,22.74,46.88,3.16
27.45,22.81,46.91,2.83
27.40,23.27,46.12,3.21
27.13,23.12,46.63,3.12
27.35,22.91,46.63,3.11
27.17,22.94,46.82,3.07
27.37,23.48,46.01,3.13
27.45,22.88,46.82,2.86
27.36,23.19,46.29,3.16
27.30,23.17,46.41,3.12
27.39,22.93,46.41,3.28
27.34,23.08,46.53,3.05
27.45,22.81,46.57,3.17
27.10,22.98,46.98,2.94
27.46,22.94,46.68,2.93
27.29,23.12,46.67,2.92
27.33,22.77,46.82,3.08
27.12,23.10,46.78,2.99
27.28,22.74,46.96,3.03
27.30,22.85,46.84,3.00
27.26,22.96,46.49,3.29
27.27,22.99,46.75,2.99
27.29,23.20,46.51,3.00
27.26,22.73,47.12,2.88
27.31,22.92,46.86,2.92
27.32,22.86,46.64,3.18
27.23,22.89,46.84,3.04
27.14,23.08,46.75,3.03
27.18,23.15,46.57,3.10
27.12,22.89,47.14,2.85
27.34,22.88,46.55,3.23
27.30,22.92,46.71,3.08
27.32,22.88,46.97,2.82
27.36,23.01,46.65,2.98
27.33,23.32,46.46,2.90
27.17,23.03,46.83,2.98
27.19,22.89,46.76,3.15
27.25,23.23,46.33,3.18
27.28,22.92,46.67,3.13
27.20,22.89,46.88,3.03
27.39,23.02,46.45,3.14
27.16,22.93,46.94,2.97
27.30,22.74,46.88,3.09
27.11,23.16,46.58,3.14
27.18,23.07,46.47,3.28
27.23,23.14,46.63,3.00
27.35,22.82,46.72,3.10
27.48,22.89,46.63,3.00
27.16,23.04,46.75,3.04
27.30,22.91,46.67,3.12
27.23,22.95,46.85,2.98
27.18,22.91,46.68,3.22
27.32,22.98,46.68,3.02
27.23,22.89,46.95,2.93
27.42,22.87,46.69,3.02
27.24,22.94,46.90,2.93
27.34,22.95,46.65,3.05
27.36,22.78,46.69,3.17
27.23,23.00,46.90,2.87
27.34,23.15,46.55,2.96
27.35,23.13,46.71,2.81
27.23,23.17,46.65,2.95
27.30,23.06,46.50,3.13
27.39,22.97,46.47,3.17
27.46,22.99,46.23,3.33
27.24,23.31,46.02,3.43
27.13,22.72,46.95,3.20
27.53,22.82,46.47,3.18
27.32,22.91,46.64,3.13
27.11,22.97,46.95,2.97
27.29,22.95,46.81,2.95
27.19,22.86,46.91,3.04
27.36,22.88,46.79,2.97
27.20,23.21,46.39,3.20
27.47,23.04,46.16,3.33
27.12,22.97,46.87,3.04
27.21,22.91,46.90,2.98
27.39,22.93,46.47,3.21
27.26,23.06,46.77,2.91
27.25,22.95,46.68,3.13
27.48,22.92,46.52,3.08
27.26,23.06,46.59,3.09
27.22,23.05,46.63,3.09
27.51,23.35,46.09,3.04
27.36,22.90,46.63,3.11
27.35,22.83,46.63,3.20
27.28,23.07,46.43,3.22
27.14,22.89,46.99,2.98
27.30,22.99,46.70,3.02
27.38,22.88,46.73,3.01
27.14,23.04,46.78,3.04
27.28,23.03,46.52,3.17
27.48,22.90,46.49,3.13
27.36,22.96,46.60,3.08
27.11,23.00,46.84,3.05
27.34,22.88,46.70,3.08
27.64,23.41,45.68,3.27
27.17,22.95,46.77,3.12
27.25,22.91,46.62,3.22
27.51,22.78,46.65,3.07
27.17,23.22,46.66,2.96
27.42,23.17,46.33,3.08
27.30,23.18,46.44,3.09
27.20,22.86,46.93,3.02
27.39,22.63,46.80,3.18
27.22,23.01,46.63,3.14
27.37,22.94,46.51,3.18
27.15,22.92,46.95,2.98
27.16,22.95,47.09,2.80
27.50,22.91,46.55,3.04
27.20,22.87,46.93,3.00
27.18,22.81,47.03,2.98
27.12,22.82,46.85,3.20
27.22,22.77,47.03,2.98
27.09,22.80,46.98,3.13
27.34,22.69,46.74,3.23
27.31,22.96,46.75,2.98
27.31,22.89,46.74,3.06
27.37,22.77,46.78,3.07
27.30,22.90,46.64,3.16
27.20,23.49,46.28,3.03
27.27,23.21,46.52,2.99
27.47,22.77,46.64,3.12
27.44,22.98,46.62,2.95
27.09,23.03,46.94,2.93
27.30,22.91,46.89,2.91
27.21,22.93,47.04,2.82
27.37,22.80,46.97,2.86
27.27,22.86,46.94,2.93
27.27,22.84,46.95,2.95
27.19,23.12,46.76,2.94
27.28,23.04,46.56,3.12
27.19,23.00,46.91,2.90
27.09,23.07,46.75,3.09
27.38,22.91,46.67,3.04
27.30,23.07,46.59,3.04
27.50,23.00,46.52,2.97
27.42,23.23,46.28,3.07
27.26,23.06,46.65,3.03
27.46,22.83,46.75,2.97
27.42,22.97,46.65,2.95
27.31,23.20,46.43,3.06
27.37,23.31,46.25,3.07
27.28,22.83,46.82,3.07
27.38,22.99,46.65,2.98
27.16,22.87,47.13,2.84
27.26,22.86,46.89,2.98
